# Image point observations
# 2D pixel coordinates of GCPs in each image
# Origin: top-left of image (matches OpenCV convention)
# x increases rightward, y increases downward
# Units: pixels
# Columns: point_id  image_name  x  y

2036	IMG_0324	2685.000	738.000
2037	IMG_0324	2163.420	720.883
2038	IMG_0324	696.516		590.146
2039	IMG_0324	1081.323	605.721
2040	IMG_0324	363.000		577.000
2041	IMG_0324	755.021		269.788
2042	IMG_0324	997.816		258.967
2044	IMG_0324	3356.485	249.469
2045	IMG_0324	1921.682	182.290
3001	IMG_0324	2858.445	1180.411
3002	IMG_0324	3331.990	1096.319
3004	IMG_0324	2857.990	1552.345
3005	IMG_0324	3335.091	1787.283
3007	IMG_0324	2853.896	1992.731
;3008	IMG_0324	3359.266	2280.150
3010	IMG_0324	2844.163	2483.594
4004	IMG_0324	690.704		2702.208
4005	IMG_0324	707.495		2213.448
4006	IMG_0324	750.181		1688.666
4009	IMG_0324	1159.932	2961.438
4010	IMG_0324	1174.800	2431.453
4011	IMG_0324	1183.023	1961.813
4012	IMG_0324	1190.157	1478.195
4016	IMG_0324	1693.556	2691.913
4017	IMG_0324	1708.299	2166.604
4018	IMG_0324	1707.821	1700.293
4019	IMG_0324	1714.084	1236.107
4022	IMG_0324	2228.030	2906.167
4023	IMG_0324	2230.305	2412.047
4025	IMG_0324	2251.664	1455.879
4029	IMG_0324	2616.087	2624.435
4030	IMG_0324	2644.449	2149.114
4031	IMG_0324	2640.914	1711.027
4032	IMG_0324	2652.512	1240.878
5019	IMG_0324	986.253		1173.970
5026	IMG_0324	1186.351	1192.431
5078	IMG_0324	2448.884	1278.026
5079	IMG_0324	2464.744	1080.426
6003	IMG_0324	1109.000	967.000
6004	IMG_0324	1013.000	849.000
6006	IMG_0324	592.000		445.000
6010	IMG_0324	1637.000	990.000
6011	IMG_0324	1613.000	874.000
6012	IMG_0324	1540.940	709.092
6013	IMG_0324	1349.861	139.060
6016	IMG_0324	2201.000	952.000
6018	IMG_0324	2497.600	148.818
6021	IMG_0324	2672.000	1014.000
6022	IMG_0324	2825.000	895.000
6023	IMG_0324	3030.000	752.000
6024	IMG_0324	3805.540	180.825
7001	IMG_0324	3073.642	1161.380
7002	IMG_0324	3848.000	921.000
7003	IMG_0324	3087.575	1689.739
7004	IMG_0324	3806.000	1840.957
7005	IMG_0324	3075.937	2351.247
7006	IMG_0324	3803.691	2926.405
1074	IMG_0325	53.758		1508.381
1081	IMG_0325	66.057		759.575
1082	IMG_0325	267.138		1314.978
1083	IMG_0325	229.366		1155.701
1084	IMG_0325	255.194		820.461
1085	IMG_0325	477.419		1498.925
1087	IMG_0325	189.754		169.305
1089	IMG_0325	263.497		455.530
1090	IMG_0325	347.998		761.756
1091	IMG_0325	519.408		1310.585
1092	IMG_0325	609.562		1558.725
1093	IMG_0325	362.530		324.666
1096	IMG_0325	494.963		173.928
1097	IMG_0325	627.210		746.846
